id_appel_offre,titre,description,categorie_marche,secteur,organisme_emetteur,pays,region,ville,date_publication,date_limite,date_resultat,budget_estime,soumissionnaires,montants_soumis,soumissionnaire_gagnant,montant_gagnant,montant_moyen,ecart_montant_vs_budget,delai_execution,type_procedure,critere_attribution,nombre_soumissionnaires,historique_gagnant_dans_les_3_derniers_ao,nombre_ao_gagnes_par_gagnant,experience_gagnant,notation_technique_gagnant,statut_ao,motif_annulation,notes_techniques_non_gagnants,capacites_financieres,experiences_non_gagnants,historiques_non_gagnants,complexite_projet,exigences_techniques_detaillees,localisations_soumissionnaires,tailles_entreprises,contexte_economique,poids_criteres_attribution,historique_ao_similaires,details_annulations
24,Appel d'offre pour fournitures scolaires à Tanger,Marché public concernant le secteur fournitures scolaires pour Caisse de Dépôt et de Gestion,Travaux,Fournitures scolaires,Caisse de Dépôt et de Gestion,Maroc,Casablanca-Settat,Tanger,2025-07-13,2025-08-22,2025-09-01,7763842 DH,SOREAD; LYDEC; CHINA RAILWAY; DELL MAROC; TECHNO PARK; MAGHREB STEEL; REDAL; ORANGE MAROC,6960697.36; 6476426.48; 6516568.87; 8773320.93; 8567252.05; 7115887.48; 6418183.2; 6465359.85,SOREAD,6960697.36 DH,7161712.03 DH,-0.1034,42,Concours,Prix seul,8,Non,1,4,96,Annulé,Absence d'offres,65; 79; 90; 73; 62; 90; 65,229369634; 254741199; 202225423; 74788088; 172848837; 403216144; 264755383; 148209619,20; 22; 17; 7; 6; 18; 5,0; 1; 2; 14; 9; 12; 1,Très élevée,"Normes ISO 27001, Technologies innovantes",Berrechid; Kenitra; Oujda; Safi; Tanger; Agadir; Oujda; Marrakech,Grande entreprise; ETI; ETI; Grande entreprise; PME; Grande entreprise; Grande entreprise; ETI,"Inflation: 2.2%, Croissance: 2.6%","Technique: 77%, Prix: 23%",Derniers 12 mois: 46 AO similaires,Taux d'annulation secteur: 16%
25,Appel d'offre pour fournitures scolaires à Nador,Marché public concernant le secteur fournitures scolaires pour Office de la Formation Professionnelle,Travaux,Fournitures scolaires,Office de la Formation Professionnelle,Maroc,Casablanca-Settat,Nador,2025-07-13,2025-09-08,2025-09-22,23788280 DH,DELTA HOLDING; VINCI; CAPGEMINI MAROC,19478928.84; 27139010.83; 23992097.31,DELTA HOLDING,19478928.84 DH,23536678.99 DH,-0.1812,202,Appel d'offres ouvert,Rapport qualité-prix,3,Oui,3,10,82,Sans suite,Insuffisance technique,88; 80,87493045; 62304673; 197397210,17; 6,6; 5,Moyenne,"Normes ISO 27001, Technologies avancées",Settat; Mohammedia; Khouribga,Grande entreprise; Moyenne entreprise; Moyenne entreprise,"Inflation: 2.3%, Croissance: 3.6%","Technique: 56%, Prix: 44%",Derniers 12 mois: 13 AO similaires,Taux d'annulation secteur: 13%
26,Appel d'offre pour transport à Casablanca,Marché public concernant le secteur transport pour Ministère de la Santé,Services,Transport,Ministère de la Santé,Maroc,Marrakech-Safi,Casablanca,2025-07-13,2025-08-30,2025-09-04,17566629 DH,TRAVOCÉAN; OCP; Novec,15678789.86; 17603926.96; 14142059.59,TRAVOCÉAN,15678789.86 DH,15808258.80 DH,-0.1075,69,Procédure négociée,Rapport qualité-prix,3,Non,9,4,75,Sans suite,Contraintes réglementaires,70; 63,494678220; 303992258; 150616527,22; 4,15; 8,Moyenne,"Normes ISO 45001, Technologies certifiées",Meknès; Temara; Tanger,Grande entreprise; PME; ETI,"Inflation: 1.6%, Croissance: 3.6%","Technique: 53%, Prix: 47%",Derniers 12 mois: 25 AO similaires,Taux d'annulation secteur: 17%
27,Appel d'offre pour médical à Meknès,Marché public concernant le secteur médical pour Agence Nationale de Réglementation des Télécommunications,Travaux,Médical,Agence Nationale de Réglementation des Télécommunications,Maroc,Fès-Meknès,Meknès,2025-07-13,2025-09-08,2025-09-11,23335259 DH,INWI; HP MAROC; DELL MAROC; CAPGEMINI MAROC,19353606.35; 20117460.05; 22587163.91; 22205899.95,INWI,19353606.35 DH,21066032.57 DH,-0.1706,210,Procédure négociée,Critères multiples,4,Oui,14,5,99,Sans suite,Absence d'offres,69; 75; 67,46221541; 266810100; 96130205; 311134182,4; 5; 8,9; 6; 9,Très élevée,"Normes ISO 45001, Technologies éprouvées",Khouribga; Salé; Safi; El Jadida,Moyenne entreprise; Grande entreprise; Moyenne entreprise; Moyenne entreprise,"Inflation: 3.8%, Croissance: 2.1%","Technique: 45%, Prix: 55%",Derniers 12 mois: 43 AO similaires,Taux d'annulation secteur: 7%
28,Appel d'offre pour agriculture à Beni Mellal,Marché public concernant le secteur agriculture pour Agence Nationale de Réglementation des Télécommunications,Travaux,Agriculture,Agence Nationale de Réglementation des Télécommunications,Maroc,Souss-Massa,Beni Mellal,2025-07-13,2025-08-22,2025-09-05,42730695 DH,CISCO MAROC; HP MAROC; TRAVOCÉAN; SUEZ; COSUMAR; INGEMA; TGCC; MAJOREL,43258293.86; 46712133.41; 39786379.59; 50338184.53; 34403694.34; 46063181.31; 39163007.59; 51051432.5,COSUMAR,34403694.34 DH,43847038.39 DH,-0.1949,98,Concours,Prix seul,8,Oui,7,19,89,Annulé,Contraintes réglementaires,84; 71; 61; 99; 66; 72; 77,128629800; 20449463; 386575026; 286820132; 359360910; 97074740; 396438863; 456446669,20; 9; 16; 4; 14; 17; 3,14; 4; 14; 4; 5; 11; 1,Faible,"Normes ISO 14001, Technologies innovantes",El Jadida; Rabat; Berrechid; Meknès; Khouribga; Tanger; Safi; Khouribga,Moyenne entreprise; ETI; Grande entreprise; Moyenne entreprise; PME; Grande entreprise; PME; PME,"Inflation: 2.6%, Croissance: 3.5%","Technique: 68%, Prix: 32%",Derniers 12 mois: 19 AO similaires,Taux d'annulation secteur: 19%
29,Appel d'offre pour agriculture à Khouribga,Marché public concernant le secteur agriculture pour Ministère de l'Éducation,Fournitures,Agriculture,Ministère de l'Éducation,Maroc,Fès-Meknès,Khouribga,2025-07-13,2025-09-08,2025-09-12,28506317 DH,SGTM; INGEMA; LYDEC,28290568.7; 25305140.58; 25148483.54,SGTM,28290568.7 DH,26248064.27 DH,-0.0076,148,Appel d'offres restreint,Prix seul,3,Oui,10,13,84,Attribué,Non applicable,75; 63,423067773; 189546935; 495022416,21; 5,11; 4,Élevée,"Normes ISO 9001, Technologies certifiées",Khouribga; Tétouan; Tétouan,PME; ETI; ETI,"Inflation: 3.6%, Croissance: 3.9%","Technique: 71%, Prix: 29%",Derniers 12 mois: 33 AO similaires,Taux d'annulation secteur: 10%
30,Appel d'offre pour télécommunications à Berrechid,Marché public concernant le secteur télécommunications pour Ministère de l'Intérieur,Services,Télécommunications,Ministère de l'Intérieur,Maroc,Fès-Meknès,Berrechid,2025-07-13,2025-09-10,2025-09-23,37629314 DH,TGCC; CAPGEMINI MAROC; BMCE; HOLCIM; VINCI; TRAVOCÉAN; CHINA RAILWAY; INGEMA,42167084.0; 42857773.71; 41802152.59; 39375702.01; 44394172.35; 34115584.87; 32096233.51; 40853192.7,CHINA RAILWAY,32096233.51 DH,39707736.97 DH,-0.147,35,Gré à gré,Critères multiples,8,Oui,13,13,82,Sans suite,Non-conformité des offres,91; 90; 75; 71; 90; 85; 90,137997658; 443405058; 278748768; 134895967; 212252065; 301814014; 280634459; 300949610,5; 6; 13; 16; 12; 13; 14,0; 12; 13; 2; 4; 13; 12,Moyenne,"Normes ISO 27001, Technologies éprouvées",Temara; Khouribga; Salé; Agadir; Tétouan; Rabat; Mohammedia; Agadir,PME; Moyenne entreprise; PME; Moyenne entreprise; Moyenne entreprise; Moyenne entreprise; Moyenne entreprise; ETI,"Inflation: 1.4%, Croissance: 3.3%","Technique: 50%, Prix: 50%",Derniers 12 mois: 25 AO similaires,Taux d'annulation secteur: 18%
31,Appel d'offre pour sécurité à Mohammedia,Marché public concernant le secteur sécurité pour Office National des Chemins de Fer,Fournitures,Sécurité,Office National des Chemins de Fer,Maroc,Dakhla-Oued Ed-Dahab,Mohammedia,2025-07-13,2025-08-12,2025-08-21,20856668 DH,ATLAS HOSPITALITY; SAHAM; CISCO MAROC; SOGEA; ATTIJARI,23493633.41; 19445069.75; 19873677.68; 22612999.67; 21979072.26,SAHAM,19445069.75 DH,21480890.55 DH,-0.0677,253,Gré à gré,Prix seul,5,Non,10,17,90,Sans suite,Problème procédural,64; 86; 91; 61,55206256; 305109683; 71055127; 443179454; 29636442,20; 9; 12; 16,12; 12; 9; 6,Très élevée,"Normes ISO 22000, Technologies avancées",Rabat; Nador; Safi; Tanger; Temara,ETI; Grande entreprise; Grande entreprise; Moyenne entreprise; Moyenne entreprise,"Inflation: 3.8%, Croissance: 3.9%","Technique: 60%, Prix: 40%",Derniers 12 mois: 38 AO similaires,Taux d'annulation secteur: 11%
32,Appel d'offre pour médical à Meknès,Marché public concernant le secteur médical pour Caisse Nationale de Sécurité Sociale,Travaux,Médical,Caisse Nationale de Sécurité Sociale,Maroc,Drâa-Tafilalet,Meknès,2025-07-13,2025-09-11,2025-09-16,38231208 DH,MAROC TELECOM; INGEMA; TOTAL MAROC; SOREAD; IBM MAROC; MAJOREL; Novec; BOUYGUES,34796094.48; 36246232.96; 34642117.75; 30860470.34; 41960581.07; 33578739.58; 45560716.32; 41627910.05,TOTAL MAROC,34642117.75 DH,37409107.82 DH,-0.0939,245,Appel d'offres restreint,Rapport qualité-prix,8,Oui,5,23,88,Annulé,Non-conformité des offres,69; 71; 79; 62; 60; 66; 67,166392444; 158862731; 483184981; 231428438; 366029718; 411351511; 120040219; 172690457,4; 10; 25; 9; 5; 15; 12,10; 10; 3; 13; 12; 12; 6,Élevée,"Normes ISO 14001, Technologies certifiées",Marrakech; Fès; Settat; Khouribga; Oujda; Settat; Berrechid; Settat,PME; Grande entreprise; PME; ETI; PME; Grande entreprise; Moyenne entreprise; ETI,"Inflation: 2.2%, Croissance: 5.0%","Technique: 55%, Prix: 45%",Derniers 12 mois: 15 AO similaires,Taux d'annulation secteur: 12%
33,Appel d'offre pour informatique à Kenitra,Marché public concernant le secteur informatique pour Agence de Développement Social,Fournitures,Informatique,Agence de Développement Social,Maroc,Marrakech-Safi,Kenitra,2025-07-13,2025-08-05,2025-08-10,1476610 DH,SOGEC; TGCC; CAPGEMINI MAROC,1500947.42; 1539094.18; 1557611.42,SOGEC,1500947.42 DH,1532551.01 DH,0.0165,246,Procédure négociée,Prix seul,3,Oui,11,5,81,Sans suite,Manque de budget,70; 77,162397624; 458439102; 358232519,8; 9,11; 6,Moyenne,"Normes ISO 27001, Technologies éprouvées",Khouribga; Agadir; Settat,Moyenne entreprise; Grande entreprise; ETI,"Inflation: 2.0%, Croissance: 2.8%","Technique: 74%, Prix: 26%",Derniers 12 mois: 25 AO similaires,Taux d'annulation secteur: 12%
34,Appel d'offre pour agriculture à Fès,Marché public concernant le secteur agriculture pour Ministère de la Justice,Travaux,Agriculture,Ministère de la Justice,Maroc,Oriental,Fès,2025-07-13,2025-09-06,2025-09-10,37675158 DH,CAPGEMINI MAROC; HOLCIM; COVEC,42695051.61; 38724207.47; 41919006.24,COVEC,41919006.24 DH,41112755.11 DH,0.1126,239,Gré à gré,Meilleure offre économiquement,3,Oui,9,8,86,Attribué,Non applicable,82; 74,386845830; 387064681; 437477459,19; 4,0; 10,Moyenne,"Normes ISO 22000, Technologies éprouvées",Tétouan; Settat; Tanger,ETI; ETI; PME,"Inflation: 2.5%, Croissance: 4.5%","Technique: 52%, Prix: 48%",Derniers 12 mois: 39 AO similaires,Taux d'annulation secteur: 19%
35,Appel d'offre pour transport à Marrakech,Marché public concernant le secteur transport pour Caisse de Dépôt et de Gestion,Travaux,Transport,Caisse de Dépôt et de Gestion,Maroc,Fès-Meknès,Marrakech,2025-07-13,2025-09-09,2025-09-19,8668143 DH,Novec; BMCE; SOGEC; TRAVOCÉAN,7704165.18; 9549247.52; 9961338.19; 9212456.56,TRAVOCÉAN,9212456.56 DH,9106801.86 DH,0.0628,169,Concours,Meilleure offre économiquement,4,Non,3,18,84,Attribué,Non applicable,65; 74; 62,197659544; 13468890; 451376514; 228222119,23; 13; 24,14; 2; 5,Faible,"Normes ISO 27001, Technologies innovantes",Rabat; Agadir; Casablanca; Tétouan,ETI; PME; PME; Moyenne entreprise,"Inflation: 3.4%, Croissance: 4.0%","Technique: 72%, Prix: 28%",Derniers 12 mois: 30 AO similaires,Taux d'annulation secteur: 17%
36,Appel d'offre pour conseil à Fès,Marché public concernant le secteur conseil pour Ministère de l'Intérieur,Fournitures,Conseil,Ministère de l'Intérieur,Maroc,Rabat-Salé-Kénitra,Fès,2025-07-13,2025-08-17,2025-08-20,10555225 DH,OCP; SGTM; SHELL MAROC; SOMAGEC; HP MAROC,11675029.13; 11422305.94; 10268774.21; 9309048.16; 11443158.05,OCP,11675029.13 DH,10823663.10 DH,0.1061,73,Procédure négociée,Prix seul,5,Non,9,20,99,Attribué,Non applicable,87; 67; 68; 66,92301699; 383577215; 295384342; 310536689; 293940590,19; 21; 15; 24,4; 14; 6; 8,Très élevée,"Normes ISO 45001, Technologies certifiées",Beni Mellal; Berrechid; Oujda; Berrechid; Safi,PME; ETI; ETI; PME; ETI,"Inflation: 1.4%, Croissance: 2.7%","Technique: 77%, Prix: 23%",Derniers 12 mois: 7 AO similaires,Taux d'annulation secteur: 10%
37,Appel d'offre pour btp à Rabat,Marché public concernant le secteur btp pour Caisse Nationale de Sécurité Sociale,Services,BTP,Caisse Nationale de Sécurité Sociale,Maroc,Tanger-Tétouan-Al Hoceïma,Rabat,2025-07-13,2025-09-05,2025-09-17,5268323 DH,ATLAS HOSPITALITY; HOLCIM; CHINA RAILWAY; MAROC TELECOM; VINCI; SHELL MAROC; SAHAM,4277723.29; 4757985.57; 4958361.27; 4533211.35; 4803359.76; 6299008.93; 6272538.28,MAROC TELECOM,4533211.35 DH,5128884.06 DH,-0.1395,319,Concours,Meilleure offre économiquement,7,Oui,6,12,95,Attribué,Non applicable,64; 89; 76; 75; 92; 98,111166644; 42598813; 335526500; 180059014; 370434568; 425335463; 318759668,15; 11; 22; 15; 11; 23,7; 6; 1; 8; 7; 6,Très élevée,"Normes ISO 22000, Technologies certifiées",Temara; Nador; Tétouan; Tétouan; Temara; Beni Mellal; Oujda,PME; Grande entreprise; ETI; Grande entreprise; Grande entreprise; ETI; PME,"Inflation: 2.3%, Croissance: 2.6%","Technique: 55%, Prix: 45%",Derniers 12 mois: 31 AO similaires,Taux d'annulation secteur: 13%
38,Appel d'offre pour maintenance à Settat,Marché public concernant le secteur maintenance pour Barid Al-Maghrib,Fournitures,Maintenance,Barid Al-Maghrib,Maroc,Marrakech-Safi,Settat,2025-07-13,2025-08-28,2025-09-01,24280968 DH,DELL MAROC; CAPGEMINI MAROC; LAFARGE; LYDEC,23102872.86; 27158618.36; 27994203.19; 25285938.04,DELL MAROC,23102872.86 DH,25885408.11 DH,-0.0485,187,Gré à gré,Rapport qualité-prix,4,Oui,13,11,82,Attribué,Non applicable,76; 66; 66,397343811; 404686587; 368685960; 165463684,22; 6; 11,2; 6; 12,Très élevée,"Normes ISO 45001, Technologies modernes",Tanger; Oujda; Nador; Marrakech,PME; Grande entreprise; Moyenne entreprise; Moyenne entreprise,"Inflation: 1.7%, Croissance: 2.1%","Technique: 40%, Prix: 60%",Derniers 12 mois: 41 AO similaires,Taux d'annulation secteur: 6%
39,Appel d'offre pour formation à Kenitra,Marché public concernant le secteur formation pour Ministère de l'Équipement,Travaux,Formation,Ministère de l'Équipement,Maroc,Souss-Massa,Kenitra,2025-07-13,2025-09-02,2025-09-16,15060948 DH,REDAL; SOGEC; SHELL MAROC; MANAGEM; LYDEC; DELTA HOLDING; VINCI; CHINA RAILWAY,13853915.02; 13998460.9; 16033515.75; 15179570.31; 13241827.7; 13222030.6; 13683667.38; 13136479.41,CHINA RAILWAY,13136479.41 DH,14043683.38 DH,-0.1278,175,Procédure négociée,Critères multiples,8,Non,15,25,98,Attribué,Non applicable,73; 92; 91; 79; 72; 98; 94,438702702; 289974584; 129197772; 498138678; 366426957; 274100060; 301791487; 318684055,16; 22; 18; 18; 14; 13; 18,6; 8; 9; 8; 2; 14; 2,Très élevée,"Normes ISO 9001, Technologies certifiées",Temara; Tétouan; Nador; Khouribga; Salé; Temara; El Jadida; Fès,Moyenne entreprise; Moyenne entreprise; Moyenne entreprise; Grande entreprise; ETI; Moyenne entreprise; Moyenne entreprise; PME,"Inflation: 2.6%, Croissance: 4.3%","Technique: 72%, Prix: 28%",Derniers 12 mois: 31 AO similaires,Taux d'annulation secteur: 15%
40,Appel d'offre pour sécurité à Agadir,Marché public concernant le secteur sécurité pour Office de la Formation Professionnelle,Services,Sécurité,Office de la Formation Professionnelle,Maroc,Oriental,Agadir,2025-07-13,2025-08-31,2025-09-07,8581391 DH,TECHNO PARK; BMCE; SHELL MAROC,8442991.33; 8687155.31; 6939666.69,SHELL MAROC,6939666.69 DH,8023271.11 DH,-0.1913,236,Appel d'offres restreint,Rapport qualité-prix,3,Oui,7,22,86,Attribué,Non applicable,97; 74,497992687; 135053502; 193939917,10; 20,8; 2,Élevée,"Normes ISO 22000, Technologies modernes",Rabat; El Jadida; Tanger,Grande entreprise; Moyenne entreprise; Grande entreprise,"Inflation: 1.2%, Croissance: 3.6%","Technique: 53%, Prix: 47%",Derniers 12 mois: 32 AO similaires,Taux d'annulation secteur: 12%
41,Appel d'offre pour btp à Mohammedia,Marché public concernant le secteur btp pour Ministère de la Santé,Travaux,BTP,Ministère de la Santé,Maroc,Drâa-Tafilalet,Mohammedia,2025-07-13,2025-08-11,2025-08-21,37498757 DH,Novec; HP MAROC; SUEZ; DELTA HOLDING; INWI; TOTAL MAROC; TECHNO PARK; IBM MAROC,39587731.59; 41586122.75; 35545773.05; 32887894.38; 38712287.78; 35201922.77; 43961548.63; 34256939.44,DELTA HOLDING,32887894.38 DH,37717527.55 DH,-0.123,304,Appel d'offres ouvert,Critères multiples,8,Oui,11,7,91,Annulé,Insuffisance technique,81; 84; 63; 61; 85; 77; 78,444908523; 272944908; 359535432; 80159587; 256031963; 416829706; 193010867; 283201276,11; 19; 15; 6; 24; 7; 3,6; 9; 2; 8; 0; 15; 2,Très élevée,"Normes ISO 22000, Technologies modernes",Rabat; Agadir; Meknès; Tétouan; Rabat; Tanger; Beni Mellal; Temara,Moyenne entreprise; PME; Grande entreprise; PME; ETI; PME; PME; PME,"Inflation: 1.6%, Croissance: 3.7%","Technique: 42%, Prix: 58%",Derniers 12 mois: 46 AO similaires,Taux d'annulation secteur: 5%
42,Appel d'offre pour sécurité à Tétouan,Marché public concernant le secteur sécurité pour Agence Nationale de la Conservation Foncière,Travaux,Sécurité,Agence Nationale de la Conservation Foncière,Maroc,Casablanca-Settat,Tétouan,2025-07-13,2025-09-10,2025-09-21,24351851 DH,DELTA HOLDING; CIMAR; HP MAROC; TECHNO PARK,28082723.67; 23113061.2; 24771685.24; 21654091.41,TECHNO PARK,21654091.41 DH,24405390.38 DH,-0.1108,291,Gré à gré,Rapport qualité-prix,4,Oui,14,14,99,Sans suite,Spécifications techniques inadéquates,79; 60; 94,360814692; 427587629; 397626440; 65862029,12; 10; 20,1; 4; 8,Faible,"Normes ISO 14001, Technologies modernes",Temara; Marrakech; Agadir; Oujda,Moyenne entreprise; Moyenne entreprise; PME; Moyenne entreprise,"Inflation: 1.2%, Croissance: 3.5%","Technique: 63%, Prix: 37%",Derniers 12 mois: 15 AO similaires,Taux d'annulation secteur: 11%
43,Appel d'offre pour agriculture à El Jadida,Marché public concernant le secteur agriculture pour Ministère de l'Intérieur,Travaux,Agriculture,Ministère de l'Intérieur,Maroc,Fès-Meknès,El Jadida,2025-07-13,2025-09-11,2025-09-22,45747099 DH,DELTA HOLDING; SUEZ; SOGEA; TGCC; AMENDIS; SOREAD,37118783.12; 48671086.5; 50958224.09; 44484940.09; 46852577.64; 53809389.08,DELTA HOLDING,37118783.12 DH,46982500.09 DH,-0.1886,269,Appel d'offres restreint,Critères multiples,6,Oui,14,25,79,Annulé,Budget insuffisant,84; 65; 68; 63; 94,281332166; 360717447; 14422085; 173070578; 62420434; 385452194,12; 24; 16; 20; 16,0; 8; 11; 0; 12,Moyenne,"Normes ISO 45001, Technologies innovantes",Tanger; Beni Mellal; Khouribga; Casablanca; Casablanca; Berrechid,ETI; Moyenne entreprise; Grande entreprise; PME; Moyenne entreprise; Grande entreprise,"Inflation: 1.9%, Croissance: 2.8%","Technique: 60%, Prix: 40%",Derniers 12 mois: 44 AO similaires,Taux d'annulation secteur: 20%
44,Appel d'offre pour télécommunications à Beni Mellal,Marché public concernant le secteur télécommunications pour Agence Nationale de Réglementation des Télécommunications,Travaux,Télécommunications,Agence Nationale de Réglementation des Télécommunications,Maroc,Souss-Massa,Beni Mellal,2025-07-13,2025-08-25,2025-09-09,18968255 DH,VINCI; SOMAGEC; MAGHREB STEEL; WAFA; CAPGEMINI MAROC; SHELL MAROC; ATTIJARI; SOREAD,15527981.51; 22060876.8; 16040334.73; 17193352.59; 21102281.5; 16634873.24; 19817191.66; 22003120.34,VINCI,15527981.51 DH,18797501.55 DH,-0.1814,155,Appel d'offres ouvert,Prix seul,8,Non,1,25,79,Annulé,Offres trop élevées,95; 77; 68; 88; 75; 93; 87,151348126; 229305790; 42534824; 446897653; 63915226; 378056865; 322320521; 268393038,8; 18; 8; 23; 6; 19; 10,12; 14; 13; 8; 14; 9; 6,Faible,"Normes ISO 9001, Technologies certifiées",Safi; Agadir; Salé; Casablanca; Rabat; El Jadida; El Jadida; Nador,PME; PME; ETI; PME; PME; Grande entreprise; Moyenne entreprise; PME,"Inflation: 1.2%, Croissance: 3.3%","Technique: 49%, Prix: 51%",Derniers 12 mois: 21 AO similaires,Taux d'annulation secteur: 6%
45,Appel d'offre pour environnement à Rabat,Marché public concernant le secteur environnement pour Caisse de Dépôt et de Gestion,Fournitures,Environnement,Caisse de Dépôt et de Gestion,Maroc,Guelmim-Oued Noun,Rabat,2025-07-13,2025-09-09,2025-09-15,4216729 DH,LAFARGE; CIMAR; COSUMAR,4081643.89; 4748162.12; 4953268.02,LAFARGE,4081643.89 DH,4594358.01 DH,-0.032,97,Appel d'offres ouvert,Prix seul,3,Non,15,11,79,Attribué,Non applicable,69; 74,294461050; 482376245; 430584325,21; 23,0; 7,Très élevée,"Normes ISO 9001, Technologies modernes",Tétouan; Settat; Meknès,Moyenne entreprise; PME; PME,"Inflation: 1.4%, Croissance: 2.7%","Technique: 42%, Prix: 58%",Derniers 12 mois: 46 AO similaires,Taux d'annulation secteur: 7%
46,Appel d'offre pour sécurité à Nador,Marché public concernant le secteur sécurité pour Office National des Hydrocarbures,Services,Sécurité,Office National des Hydrocarbures,Maroc,Souss-Massa,Nador,2025-07-13,2025-09-05,2025-09-14,26022439 DH,MAJOREL; TRAVOCÉAN; ORANGE MAROC; SGTM; MAGHREB STEEL; INGEMA; MAROC TELECOM; EIFFAGE,29019967.28; 23047671.43; 24193607.87; 22851071.59; 22342654.57; 31137519.64; 26759430.61; 25827186.71,MAJOREL,29019967.28 DH,25647388.71 DH,0.1152,235,Concours,Critères multiples,8,Non,15,5,98,Annulé,Offres trop élevées,60; 86; 76; 79; 76; 61; 74,474339925; 20413948; 495115495; 341771647; 160652503; 413371856; 265810546; 137129856,10; 15; 21; 3; 22; 20; 14,8; 7; 15; 5; 5; 7; 12,Faible,"Normes ISO 45001, Technologies avancées",Safi; Settat; Safi; Nador; Salé; El Jadida; Fès; El Jadida,ETI; Grande entreprise; ETI; Grande entreprise; Moyenne entreprise; ETI; PME; Moyenne entreprise,"Inflation: 3.5%, Croissance: 2.2%","Technique: 63%, Prix: 37%",Derniers 12 mois: 13 AO similaires,Taux d'annulation secteur: 17%
47,Appel d'offre pour environnement à Nador,Marché public concernant le secteur environnement pour Agence Nationale de Réglementation des Télécommunications,Fournitures,Environnement,Agence Nationale de Réglementation des Télécommunications,Maroc,Béni Mellal-Khénifra,Nador,2025-07-13,2025-08-11,2025-08-17,13142259 DH,TRAVOCÉAN; CAPGEMINI MAROC; SOMAGEC,13106674.8; 11389116.83; 14455857.61,SOMAGEC,14455857.61 DH,12983883.08 DH,0.1,250,Appel d'offres restreint,Meilleure offre économiquement,3,Oui,11,23,94,Annulé,Offres trop élevées,80; 73,471797975; 286086638; 148288054,4; 3,8; 3,Moyenne,"Normes ISO 9001, Technologies modernes",Tétouan; Casablanca; Meknès,Grande entreprise; Grande entreprise; Moyenne entreprise,"Inflation: 2.7%, Croissance: 3.7%","Technique: 58%, Prix: 42%",Derniers 12 mois: 31 AO similaires,Taux d'annulation secteur: 19%
48,Appel d'offre pour agriculture à Tanger,Marché public concernant le secteur agriculture pour Ministère de la Justice,Fournitures,Agriculture,Ministère de la Justice,Maroc,Oriental,Tanger,2025-07-13,2025-08-05,2025-08-09,13351253 DH,MANAGEM; SOGEC; VINCI; SAHAM,11863511.08; 15391459.53; 14158820.44; 15205009.23,MANAGEM,11863511.08 DH,14154700.07 DH,-0.1114,362,Appel d'offres restreint,Prix seul,4,Non,7,4,99,Sans suite,Absence d'offres,88; 80; 89,443526088; 264033392; 253278454; 105047117,3; 9; 11,5; 13; 12,Faible,"Normes ISO 22000, Technologies certifiées",Tétouan; Salé; Tanger; Meknès,ETI; ETI; PME; Grande entreprise,"Inflation: 3.2%, Croissance: 4.5%","Technique: 54%, Prix: 46%",Derniers 12 mois: 33 AO similaires,Taux d'annulation secteur: 15%
49,Appel d'offre pour médical à Nador,Marché public concernant le secteur médical pour Ministère de la Santé,Fournitures,Médical,Ministère de la Santé,Maroc,Drâa-Tafilalet,Nador,2025-07-13,2025-08-19,2025-08-26,10357015 DH,IBM MAROC; HOLCIM; CIMAR; SOREAD; CDG; ATTIJARI; TRAVOCÉAN; CHINA RAILWAY,10506642.54; 9335906.8; 8529872.85; 10579280.59; 9258938.97; 9066732.46; 11479932.17; 10321597.97,ATTIJARI,9066732.46 DH,9884863.04 DH,-0.1246,41,Appel d'offres ouvert,Critères multiples,8,Non,8,15,99,Annulé,Non-conformité des offres,72; 86; 73; 67; 66; 77; 86,31551486; 257891901; 240600048; 441493374; 335636032; 151411084; 56303940; 301843169,16; 12; 15; 9; 20; 11; 14,4; 1; 3; 15; 3; 11; 7,Moyenne,"Normes ISO 45001, Technologies innovantes",Salé; Salé; Mohammedia; Nador; Casablanca; Temara; El Jadida; Nador,ETI; Moyenne entreprise; Grande entreprise; Moyenne entreprise; PME; ETI; PME; Grande entreprise,"Inflation: 3.9%, Croissance: 4.2%","Technique: 77%, Prix: 23%",Derniers 12 mois: 11 AO similaires,Taux d'annulation secteur: 9%
