reference,objet_marche,budget,date_publication,maitre_ouvrage_nom,maitre_ouvrage_adresse,maitre_ouvrage_telephone,maitre_ouvrage_fax,delai_execution_total,delai_execution_phase1,delai_execution_phase2,documents_administratif,documents_technique,documents_financier,conditions_participation,chef_mission_diplome,chef_mission_experience,chef_mission_competences,expert_exploitation_diplome,expert_exploitation_experience,expert_exploitation_competences,expert_maintenance_diplome,expert_maintenance_experience,expert_maintenance_competences,note_technique,note_financiere,note_minimale,ponderation_technique,ponderation_financiere,mode_soumission_electronique,support_portail
AO-2025-6693,Fourniture de véhicules administratifs,24 277 519 DH,2025-07-30,Ministère de l'Intérieur,"rue Christelle Lopes, Fès",+33 (0)5 55 63 69 76,+33 2 22 02 92 57,228 jours,72 jours,156 jours,Registre de commerce; Certificat de qualification et classification; Procuration (si applicable); Attestation fiscale; Caution provisoire,CV des intervenants; Planning d'exécution; Note technique détaillée,Devis quantitatif et estimatif; Acte d'engagement; Bilan des 3 dernières années; Attestation bancaire,Justifier d'une expérience de 5 ans minimum; Être en règle avec les obligations fiscales; Être inscrit au registre de commerce; Avoir un chiffre d'affaires minimum de 5M DH; Disposer d'un personnel qualifié,MBA,12 ans,Analyse technique; Audit technique; Normes ISO; Expertise sectorielle,Master en management,6 ans,Planification; Contrôle qualité; Audit technique,Doctorat,11 ans,Management d'équipe; Planification; Formation; Normes ISO; Audit technique,71%,29%,60%,71%,29%,True,www.marchespublics.gov.ma
AO-2025-7167,Prestation de services de nettoyage,4 429 530 DH,2025-07-21,Barid Al-Maghrib,"48, avenue Philippe Mendès, Mohammedia",+33 (0)1 88 93 35 24,+33 4 44 61 38 76,347 jours,138 jours,209 jours,Procuration (si applicable); Caution provisoire; Attestation fiscale; Registre de commerce; Certificat de qualification et classification,Certificats de conformité; Note technique détaillée; Attestations de formation,Bilan des 3 dernières années; Acte d'engagement; Attestation bancaire,Être en règle avec les obligations fiscales; Avoir un chiffre d'affaires minimum de 5M DH; Fournir une caution provisoire de 2% du montant estimé; Disposer d'un personnel qualifié; Justifier d'une expérience de 5 ans minimum,Diplôme d'ingénieur,19 ans,Management d'équipe; Expertise sectorielle; Planification,Master spécialisé,12 ans,Formation; Normes ISO; Planification; Contrôle qualité; Audit technique,Doctorat,14 ans,Expertise sectorielle; Gestion de projet; Analyse technique; Formation; Planification,69%,31%,60%,69%,31%,True,www.marchespublics.gov.ma
AO-2025-7552,Fourniture et installation de matériel informatique,12 099 859 DH,2025-07-22,Office National de l'Électricité et de l'Eau Potable,"16, chemin David Bègue, Casablanca",01 34 69 62 02,+33 4 49 84 49 51,128 jours,21 jours,107 jours,Attestation fiscale; Attestation CNSS; Certificat de qualification et classification; Caution provisoire; Procuration (si applicable),Certificats de conformité; Note technique détaillée; Attestations de formation; CV des intervenants; Planning d'exécution,Bordereau des prix unitaires; Attestation bancaire; Chiffre d'affaires des 3 dernières années,Avoir un chiffre d'affaires minimum de 5M DH; Justifier d'une expérience de 5 ans minimum; Être inscrit au registre de commerce; Disposer d'un personnel qualifié; Être en règle avec les obligations fiscales,MBA,12 ans,Formation; Contrôle qualité; Gestion de projet,Doctorat,18 ans,Planification; Gestion de projet; Audit technique,Ingénieur d'État,16 ans,Gestion de projet; Contrôle qualité; Expertise sectorielle; Analyse technique,65%,35%,60%,65%,35%,True,www.marchespublics.gov.ma
AO-2025-1979,Fourniture et installation de matériel informatique,46 094 545 DH,2025-07-27,Ministère de l'Intérieur,"473, rue Anaïs Germain, Rabat",+33 (0)1 72 68 19 60,0219679762,73 jours,28 jours,45 jours,Registre de commerce; Attestation fiscale; Certificat de qualification et classification,Attestations de formation; Planning d'exécution; Certificats de conformité; Note technique détaillée,Acte d'engagement; Attestation bancaire; Devis quantitatif et estimatif; Bilan des 3 dernières années,Justifier d'une expérience de 5 ans minimum; Disposer d'un personnel qualifié; Être inscrit au registre de commerce,Master spécialisé,11 ans,Expertise sectorielle; Management d'équipe; Gestion de projet; Audit technique; Normes ISO,Ingénieur d'État,18 ans,Contrôle qualité; Expertise sectorielle; Planification; Normes ISO,Master en management,11 ans,Expertise sectorielle; Planification; Formation,80%,20%,60%,80%,20%,True,www.marchespublics.gov.ma
AO-2025-6256,Travaux de rénovation de bâtiments,15 615 772 DH,2025-08-05,Agence Nationale de la Conservation Foncière,"2, avenue Susanne Duhamel, Rabat",+33 4 58 74 90 11,05 55 09 25 16,265 jours,24 jours,241 jours,Caution provisoire; Attestation fiscale; Registre de commerce,Attestations de formation; CV des intervenants; Note technique détaillée,Chiffre d'affaires des 3 dernières années; Bordereau des prix unitaires; Bilan des 3 dernières années,Fournir une caution provisoire de 2% du montant estimé; Être inscrit au registre de commerce; Disposer d'un personnel qualifié,Doctorat,6 ans,Expertise sectorielle; Planification; Normes ISO,MBA,5 ans,Normes ISO; Gestion de projet; Analyse technique; Formation,Ingénieur d'État,13 ans,Formation; Analyse technique; Expertise sectorielle,72%,28%,60%,72%,28%,True,www.marchespublics.gov.ma
AO-2025-7598,Travaux de rénovation de bâtiments,23 191 000 DH,2025-07-17,Ministère de la Santé,"80, avenue de Robert, Khouribga",+33 4 88 78 66 19,0547219334,334 jours,20 jours,314 jours,Certificat de qualification et classification; Attestation CNSS; Attestation fiscale; Registre de commerce; Caution provisoire,Certificats de conformité; CV des intervenants; Références similaires,Bilan des 3 dernières années; Acte d'engagement; Bordereau des prix unitaires; Attestation bancaire,Disposer d'un personnel qualifié; Avoir un chiffre d'affaires minimum de 5M DH; Fournir une caution provisoire de 2% du montant estimé,Ingénieur d'État,10 ans,Planification; Formation; Audit technique,Ingénieur d'État,15 ans,Expertise sectorielle; Analyse technique; Normes ISO; Management d'équipe,Doctorat,18 ans,Normes ISO; Formation; Audit technique; Expertise sectorielle,64%,36%,60%,64%,36%,True,www.marchespublics.gov.ma
AO-2025-7058,Prestation de services de nettoyage,29 583 687 DH,2025-07-24,Office National des Chemins de Fer,"avenue Alex Legendre, Nador",02 54 14 25 96,0370398229,101 jours,40 jours,61 jours,Procuration (si applicable); Registre de commerce; Certificat de qualification et classification; Caution provisoire; Attestation CNSS,Planning d'exécution; Références similaires; Note technique détaillée; Attestations de formation; CV des intervenants,Devis quantitatif et estimatif; Acte d'engagement; Bordereau des prix unitaires; Bilan des 3 dernières années,Disposer d'un personnel qualifié; Fournir une caution provisoire de 2% du montant estimé; Avoir un chiffre d'affaires minimum de 5M DH; Être en règle avec les obligations fiscales; Justifier d'une expérience de 5 ans minimum,Master en management,11 ans,Audit technique; Expertise sectorielle; Gestion de projet; Normes ISO,Master en management,7 ans,Management d'équipe; Normes ISO; Analyse technique; Planification; Contrôle qualité,Diplôme d'ingénieur,6 ans,Management d'équipe; Gestion de projet; Formation,69%,31%,60%,69%,31%,True,www.marchespublics.gov.ma
AO-2025-9938,Fourniture de produits pharmaceutiques,10 190 122 DH,2025-07-30,Caisse Nationale de Sécurité Sociale,"95, rue Reynaud, Tétouan",+33 2 37 48 49 96,0353238554,343 jours,130 jours,213 jours,Registre de commerce; Procuration (si applicable); Caution provisoire; Certificat de qualification et classification,Références similaires; Certificats de conformité; CV des intervenants; Planning d'exécution,Chiffre d'affaires des 3 dernières années; Devis quantitatif et estimatif; Attestation bancaire; Bordereau des prix unitaires,Être en règle avec les obligations fiscales; Justifier d'une expérience de 5 ans minimum; Avoir un chiffre d'affaires minimum de 5M DH,Master spécialisé,8 ans,Formation; Normes ISO; Expertise sectorielle; Management d'équipe,Doctorat,18 ans,Analyse technique; Planification; Audit technique; Contrôle qualité,Diplôme d'ingénieur,18 ans,Expertise sectorielle; Management d'équipe; Formation,73%,27%,60%,73%,27%,True,www.marchespublics.gov.ma
AO-2025-5251,Services de sécurité et gardiennage,22 490 085 DH,2025-08-08,Barid Al-Maghrib,"66, rue de Petitjean, Oujda",+33 2 43 79 99 04,04 91 57 75 37,284 jours,102 jours,182 jours,Certificat de qualification et classification; Attestation fiscale; Attestation CNSS; Registre de commerce,Note technique détaillée; CV des intervenants; Attestations de formation; Références similaires; Planning d'exécution,Chiffre d'affaires des 3 dernières années; Bordereau des prix unitaires; Attestation bancaire,Être en règle avec les obligations fiscales; Justifier d'une expérience de 5 ans minimum; Être inscrit au registre de commerce,Doctorat,18 ans,Gestion de projet; Planification; Normes ISO,Master spécialisé,10 ans,Analyse technique; Formation; Audit technique; Gestion de projet,Master en management,10 ans,Expertise sectorielle; Analyse technique; Contrôle qualité,64%,36%,60%,64%,36%,True,www.marchespublics.gov.ma
AO-2025-9649,Maintenance des équipements électriques,35 616 439 DH,2025-08-11,Office National des Aéroports,"81, rue Boulay, Khouribga",+33 (0)2 62 08 99 41,03 54 89 37 09,153 jours,52 jours,101 jours,Caution provisoire; Registre de commerce; Attestation CNSS; Procuration (si applicable); Attestation fiscale,Certificats de conformité; Note technique détaillée; Références similaires,Acte d'engagement; Chiffre d'affaires des 3 dernières années; Attestation bancaire,Fournir une caution provisoire de 2% du montant estimé; Être en règle avec les obligations fiscales; Avoir un chiffre d'affaires minimum de 5M DH; Justifier d'une expérience de 5 ans minimum,Master en management,10 ans,Management d'équipe; Analyse technique; Audit technique,Doctorat,17 ans,Formation; Analyse technique; Management d'équipe; Gestion de projet,Diplôme d'ingénieur,19 ans,Management d'équipe; Normes ISO; Expertise sectorielle,63%,37%,60%,63%,37%,True,www.marchespublics.gov.ma
AO-2025-5013,Étude technique pour l'aménagement urbain,21 961 010 DH,2025-07-22,Royal Air Maroc,"23, chemin Le Gall, Marrakech",+33 (0)3 82 61 05 35,0382498586,64 jours,25 jours,39 jours,Attestation CNSS; Registre de commerce; Attestation fiscale; Caution provisoire,Note technique détaillée; CV des intervenants; Références similaires,Bilan des 3 dernières années; Devis quantitatif et estimatif; Acte d'engagement; Chiffre d'affaires des 3 dernières années,Avoir un chiffre d'affaires minimum de 5M DH; Fournir une caution provisoire de 2% du montant estimé; Être en règle avec les obligations fiscales; Justifier d'une expérience de 5 ans minimum,MBA,14 ans,Audit technique; Normes ISO; Analyse technique; Formation; Expertise sectorielle,Doctorat,12 ans,Management d'équipe; Contrôle qualité; Formation,Doctorat,15 ans,Management d'équipe; Audit technique; Expertise sectorielle,72%,28%,60%,72%,28%,True,www.marchespublics.gov.ma
AO-2025-1200,Fourniture de véhicules administratifs,33 449 680 DH,2025-07-18,Royal Air Maroc,"512, rue de Garnier, Mohammedia",+33 (0)2 76 23 25 95,0493262674,146 jours,45 jours,101 jours,Caution provisoire; Certificat de qualification et classification; Attestation fiscale,Planning d'exécution; CV des intervenants; Note technique détaillée; Certificats de conformité,Acte d'engagement; Bilan des 3 dernières années; Devis quantitatif et estimatif; Chiffre d'affaires des 3 dernières années,Fournir une caution provisoire de 2% du montant estimé; Justifier d'une expérience de 5 ans minimum; Être inscrit au registre de commerce,Diplôme d'ingénieur,12 ans,Normes ISO; Management d'équipe; Gestion de projet,Ingénieur d'État,12 ans,Expertise sectorielle; Contrôle qualité; Audit technique; Analyse technique,Master spécialisé,15 ans,Planification; Contrôle qualité; Normes ISO; Management d'équipe,69%,31%,60%,69%,31%,True,www.marchespublics.gov.ma
AO-2025-8630,Maintenance des équipements électriques,29 130 217 DH,2025-08-10,Caisse Nationale de Sécurité Sociale,"835, rue Théophile Maillot, Rabat",03 24 71 04 45,0322030417,311 jours,21 jours,290 jours,Procuration (si applicable); Attestation fiscale; Attestation CNSS,Références similaires; Certificats de conformité; Note technique détaillée,Chiffre d'affaires des 3 dernières années; Devis quantitatif et estimatif; Bilan des 3 dernières années; Acte d'engagement,Fournir une caution provisoire de 2% du montant estimé; Être en règle avec les obligations fiscales; Disposer d'un personnel qualifié; Justifier d'une expérience de 5 ans minimum; Avoir un chiffre d'affaires minimum de 5M DH,MBA,13 ans,Gestion de projet; Expertise sectorielle; Formation; Analyse technique,Ingénieur d'État,5 ans,Formation; Contrôle qualité; Expertise sectorielle; Gestion de projet,MBA,20 ans,Contrôle qualité; Formation; Gestion de projet,60%,40%,60%,60%,40%,True,www.marchespublics.gov.ma
AO-2025-1367,Fourniture et installation de matériel informatique,9 890 072 DH,2025-07-31,Caisse Nationale de Sécurité Sociale,"20, rue Christophe Gay, Tanger",+33 5 94 28 25 89,0233973770,297 jours,105 jours,192 jours,Attestation CNSS; Caution provisoire; Registre de commerce,Certificats de conformité; CV des intervenants; Attestations de formation; Planning d'exécution; Note technique détaillée,Acte d'engagement; Attestation bancaire; Chiffre d'affaires des 3 dernières années; Bilan des 3 dernières années,Justifier d'une expérience de 5 ans minimum; Disposer d'un personnel qualifié; Avoir un chiffre d'affaires minimum de 5M DH; Être inscrit au registre de commerce; Être en règle avec les obligations fiscales,Master spécialisé,17 ans,Analyse technique; Formation; Audit technique,Ingénieur d'État,10 ans,Management d'équipe; Gestion de projet; Contrôle qualité,Diplôme d'ingénieur,14 ans,Formation; Audit technique; Management d'équipe; Normes ISO,79%,21%,60%,79%,21%,True,www.marchespublics.gov.ma
AO-2025-5555,Fourniture de produits pharmaceutiques,2 224 808 DH,2025-07-21,Caisse Nationale de Sécurité Sociale,"24, rue Claudine Perrin, Casablanca",0534571757,0179480968,271 jours,77 jours,194 jours,Attestation fiscale; Registre de commerce; Caution provisoire,Note technique détaillée; Planning d'exécution; Attestations de formation; Certificats de conformité,Acte d'engagement; Bilan des 3 dernières années; Bordereau des prix unitaires; Attestation bancaire,Justifier d'une expérience de 5 ans minimum; Disposer d'un personnel qualifié; Fournir une caution provisoire de 2% du montant estimé; Être en règle avec les obligations fiscales,Ingénieur d'État,6 ans,Gestion de projet; Planification; Management d'équipe,Master spécialisé,13 ans,Formation; Gestion de projet; Planification; Management d'équipe; Analyse technique,Ingénieur d'État,16 ans,Normes ISO; Contrôle qualité; Audit technique; Planification,80%,20%,60%,80%,20%,True,www.marchespublics.gov.ma
AO-2025-7599,Prestation de services de nettoyage,27 649 619 DH,2025-08-06,Caisse Nationale de Sécurité Sociale,"37, avenue Muller, Agadir",+33 5 16 81 79 43,03 70 15 02 36,238 jours,47 jours,191 jours,Procuration (si applicable); Caution provisoire; Attestation CNSS; Attestation fiscale; Registre de commerce,Planning d'exécution; Références similaires; CV des intervenants,Bordereau des prix unitaires; Chiffre d'affaires des 3 dernières années; Acte d'engagement,Disposer d'un personnel qualifié; Fournir une caution provisoire de 2% du montant estimé; Être inscrit au registre de commerce; Avoir un chiffre d'affaires minimum de 5M DH; Justifier d'une expérience de 5 ans minimum,Doctorat,7 ans,Analyse technique; Expertise sectorielle; Contrôle qualité; Normes ISO; Planification,Doctorat,20 ans,Audit technique; Normes ISO; Contrôle qualité; Formation,Master spécialisé,8 ans,Gestion de projet; Normes ISO; Contrôle qualité; Analyse technique; Audit technique,63%,37%,60%,63%,37%,True,www.marchespublics.gov.ma
AO-2025-5852,Fourniture de produits pharmaceutiques,17 712 622 DH,2025-07-15,Royal Air Maroc,"28, rue André Barbier, Safi",+33 6 81 45 90 18,+33 (0)4 98 51 62 57,192 jours,68 jours,124 jours,Registre de commerce; Caution provisoire; Attestation fiscale,CV des intervenants; Références similaires; Attestations de formation,Chiffre d'affaires des 3 dernières années; Bilan des 3 dernières années; Acte d'engagement,Être en règle avec les obligations fiscales; Fournir une caution provisoire de 2% du montant estimé; Avoir un chiffre d'affaires minimum de 5M DH; Justifier d'une expérience de 5 ans minimum,Diplôme d'ingénieur,11 ans,Planification; Audit technique; Expertise sectorielle; Formation,Doctorat,6 ans,Planification; Expertise sectorielle; Management d'équipe,Master en management,18 ans,Contrôle qualité; Management d'équipe; Expertise sectorielle,63%,37%,60%,63%,37%,True,www.marchespublics.gov.ma
AO-2025-3007,Étude technique pour l'aménagement urbain,6 743 832 DH,2025-07-18,Royal Air Maroc,"292, rue Adrien Lejeune, Tanger",+33 6 78 09 26 25,06 57 05 41 75,145 jours,61 jours,84 jours,Certificat de qualification et classification; Registre de commerce; Attestation CNSS,Planning d'exécution; Note technique détaillée; Certificats de conformité; Attestations de formation,Bilan des 3 dernières années; Acte d'engagement; Bordereau des prix unitaires,Fournir une caution provisoire de 2% du montant estimé; Justifier d'une expérience de 5 ans minimum; Être inscrit au registre de commerce,Ingénieur d'État,17 ans,Formation; Contrôle qualité; Expertise sectorielle,Ingénieur d'État,6 ans,Analyse technique; Planification; Expertise sectorielle; Management d'équipe,Diplôme d'ingénieur,9 ans,Formation; Expertise sectorielle; Normes ISO; Analyse technique,61%,39%,60%,61%,39%,True,www.marchespublics.gov.ma
AO-2025-2032,Fourniture et installation de matériel informatique,2 668 650 DH,2025-07-19,Ministère de l'Intérieur,"rue David Munoz, Khouribga",02 45 28 02 58,+33 (0)2 49 86 30 68,263 jours,83 jours,180 jours,Caution provisoire; Attestation fiscale; Registre de commerce,Références similaires; Planning d'exécution; CV des intervenants; Attestations de formation,Devis quantitatif et estimatif; Attestation bancaire; Bilan des 3 dernières années,Être inscrit au registre de commerce; Avoir un chiffre d'affaires minimum de 5M DH; Justifier d'une expérience de 5 ans minimum; Fournir une caution provisoire de 2% du montant estimé; Disposer d'un personnel qualifié,Master en management,11 ans,Expertise sectorielle; Management d'équipe; Formation; Normes ISO; Contrôle qualité,Diplôme d'ingénieur,13 ans,Gestion de projet; Expertise sectorielle; Normes ISO,Master en management,6 ans,Expertise sectorielle; Analyse technique; Formation; Contrôle qualité,76%,24%,60%,76%,24%,True,www.marchespublics.gov.ma
AO-2025-7807,Maintenance des équipements électriques,28 209 214 DH,2025-07-28,Office National des Aéroports,"845, avenue de Lebreton, El Jadida",0547483024,0160942729,85 jours,22 jours,63 jours,Attestation fiscale; Registre de commerce; Caution provisoire; Attestation CNSS,Certificats de conformité; CV des intervenants; Références similaires; Attestations de formation,Attestation bancaire; Bilan des 3 dernières années; Devis quantitatif et estimatif,Être en règle avec les obligations fiscales; Être inscrit au registre de commerce; Disposer d'un personnel qualifié; Justifier d'une expérience de 5 ans minimum; Avoir un chiffre d'affaires minimum de 5M DH,Ingénieur d'État,7 ans,Audit technique; Expertise sectorielle; Analyse technique; Contrôle qualité; Planification,Master spécialisé,11 ans,Contrôle qualité; Formation; Expertise sectorielle; Planification; Gestion de projet,Diplôme d'ingénieur,10 ans,Gestion de projet; Audit technique; Contrôle qualité,72%,28%,60%,72%,28%,True,www.marchespublics.gov.ma
AO-2025-1123,Fourniture de véhicules administratifs,15 226 453 DH,2025-07-17,Office National de l'Électricité et de l'Eau Potable,"229, chemin Martins, Oujda",02 55 84 35 97,+33 4 94 54 27 66,217 jours,25 jours,192 jours,Certificat de qualification et classification; Caution provisoire; Attestation fiscale; Registre de commerce,Attestations de formation; Note technique détaillée; Références similaires; CV des intervenants; Planning d'exécution,Chiffre d'affaires des 3 dernières années; Bilan des 3 dernières années; Bordereau des prix unitaires; Acte d'engagement,Avoir un chiffre d'affaires minimum de 5M DH; Fournir une caution provisoire de 2% du montant estimé; Justifier d'une expérience de 5 ans minimum,Diplôme d'ingénieur,10 ans,Gestion de projet; Normes ISO; Analyse technique; Expertise sectorielle; Management d'équipe,Master en management,17 ans,Contrôle qualité; Analyse technique; Audit technique; Management d'équipe; Planification,Master spécialisé,20 ans,Planification; Management d'équipe; Formation; Expertise sectorielle,78%,22%,60%,78%,22%,True,www.marchespublics.gov.ma
AO-2025-9288,Travaux de construction d'un centre de santé,23 941 632 DH,2025-07-28,Agence Nationale de la Conservation Foncière,"62, rue Auguste Weiss, Casablanca",+33 5 54 09 03 71,0257091398,103 jours,42 jours,61 jours,Registre de commerce; Attestation fiscale; Certificat de qualification et classification; Procuration (si applicable),Attestations de formation; Planning d'exécution; Références similaires,Devis quantitatif et estimatif; Bordereau des prix unitaires; Bilan des 3 dernières années; Attestation bancaire,Être en règle avec les obligations fiscales; Avoir un chiffre d'affaires minimum de 5M DH; Fournir une caution provisoire de 2% du montant estimé; Disposer d'un personnel qualifié; Être inscrit au registre de commerce,Doctorat,19 ans,Management d'équipe; Audit technique; Expertise sectorielle; Normes ISO; Planification,Ingénieur d'État,6 ans,Planification; Contrôle qualité; Gestion de projet; Management d'équipe; Formation,Doctorat,10 ans,Normes ISO; Planification; Expertise sectorielle,68%,32%,60%,68%,32%,True,www.marchespublics.gov.ma
AO-2025-2188,Maintenance des équipements électriques,49 786 570 DH,2025-08-07,Royal Air Maroc,"22, boulevard Chartier, Agadir",+33 (0)5 24 63 48 36,+33 1 53 73 41 19,217 jours,28 jours,189 jours,Attestation fiscale; Caution provisoire; Registre de commerce; Procuration (si applicable); Attestation CNSS,Note technique détaillée; Références similaires; Planning d'exécution; Attestations de formation; CV des intervenants,Bilan des 3 dernières années; Acte d'engagement; Devis quantitatif et estimatif; Attestation bancaire,Être inscrit au registre de commerce; Disposer d'un personnel qualifié; Avoir un chiffre d'affaires minimum de 5M DH,Diplôme d'ingénieur,15 ans,Normes ISO; Audit technique; Analyse technique; Formation,MBA,6 ans,Planification; Management d'équipe; Contrôle qualité; Analyse technique,Ingénieur d'État,13 ans,Gestion de projet; Audit technique; Analyse technique; Contrôle qualité,69%,31%,60%,69%,31%,True,www.marchespublics.gov.ma
AO-2025-9217,Maintenance des équipements électriques,2 890 295 DH,2025-07-15,Ministère de la Santé,"7, boulevard Alain Pires, Khouribga",+33 (0)5 59 43 83 62,02 69 26 50 47,258 jours,96 jours,162 jours,Caution provisoire; Procuration (si applicable); Attestation CNSS; Certificat de qualification et classification; Attestation fiscale,Planning d'exécution; CV des intervenants; Attestations de formation,Bordereau des prix unitaires; Chiffre d'affaires des 3 dernières années; Attestation bancaire,Être en règle avec les obligations fiscales; Disposer d'un personnel qualifié; Fournir une caution provisoire de 2% du montant estimé; Avoir un chiffre d'affaires minimum de 5M DH,MBA,18 ans,Contrôle qualité; Expertise sectorielle; Planification; Analyse technique,Ingénieur d'État,19 ans,Expertise sectorielle; Audit technique; Analyse technique,MBA,7 ans,Contrôle qualité; Normes ISO; Expertise sectorielle; Management d'équipe,63%,37%,60%,63%,37%,True,www.marchespublics.gov.ma
AO-2025-2364,Travaux de construction d'un centre de santé,33 625 843 DH,2025-07-12,Agence Nationale de la Conservation Foncière,"6, avenue Petit, Khouribga",04 93 34 19 52,0365497305,189 jours,86 jours,103 jours,Registre de commerce; Certificat de qualification et classification; Attestation fiscale,Références similaires; CV des intervenants; Certificats de conformité; Note technique détaillée; Planning d'exécution,Chiffre d'affaires des 3 dernières années; Bordereau des prix unitaires; Devis quantitatif et estimatif; Bilan des 3 dernières années,Justifier d'une expérience de 5 ans minimum; Disposer d'un personnel qualifié; Être en règle avec les obligations fiscales,Ingénieur d'État,13 ans,Gestion de projet; Contrôle qualité; Management d'équipe; Analyse technique; Planification,Ingénieur d'État,6 ans,Gestion de projet; Audit technique; Planification; Normes ISO,MBA,18 ans,Audit technique; Analyse technique; Planification; Normes ISO; Expertise sectorielle,63%,37%,60%,63%,37%,True,www.marchespublics.gov.ma
AO-2025-8997,Étude technique pour l'aménagement urbain,10 148 782 DH,2025-07-13,Ministère de la Santé,"6, boulevard de Denis, Agadir",0582414802,+33 3 52 77 39 56,224 jours,23 jours,201 jours,Attestation fiscale; Certificat de qualification et classification; Attestation CNSS; Registre de commerce; Procuration (si applicable),Note technique détaillée; Certificats de conformité; Planning d'exécution,Devis quantitatif et estimatif; Bordereau des prix unitaires; Attestation bancaire,Être inscrit au registre de commerce; Avoir un chiffre d'affaires minimum de 5M DH; Disposer d'un personnel qualifié,Ingénieur d'État,13 ans,Normes ISO; Audit technique; Formation; Planification,Master spécialisé,5 ans,Audit technique; Expertise sectorielle; Normes ISO; Gestion de projet; Formation,Diplôme d'ingénieur,7 ans,Formation; Gestion de projet; Contrôle qualité; Analyse technique; Normes ISO,61%,39%,60%,61%,39%,True,www.marchespublics.gov.ma
AO-2025-7606,Étude technique pour l'aménagement urbain,34 885 084 DH,2025-08-11,Caisse Nationale de Sécurité Sociale,"avenue de Gauthier, Tétouan",0381857553,0458898507,148 jours,71 jours,77 jours,Procuration (si applicable); Certificat de qualification et classification; Registre de commerce; Caution provisoire,Note technique détaillée; Planning d'exécution; Certificats de conformité; CV des intervenants; Références similaires,Bilan des 3 dernières années; Chiffre d'affaires des 3 dernières années; Attestation bancaire,Avoir un chiffre d'affaires minimum de 5M DH; Justifier d'une expérience de 5 ans minimum; Être inscrit au registre de commerce; Disposer d'un personnel qualifié; Être en règle avec les obligations fiscales,Master en management,14 ans,Formation; Expertise sectorielle; Contrôle qualité,Ingénieur d'État,15 ans,Analyse technique; Normes ISO; Management d'équipe,Doctorat,15 ans,Gestion de projet; Analyse technique; Audit technique,79%,21%,60%,79%,21%,True,www.marchespublics.gov.ma
AO-2025-4799,Travaux de construction d'un centre de santé,23 166 243 DH,2025-07-29,Agence Nationale de la Conservation Foncière,"38, rue de Seguin, Mohammedia",0389293901,+33 (0)2 47 12 26 15,106 jours,50 jours,56 jours,Attestation fiscale; Certificat de qualification et classification; Procuration (si applicable),Références similaires; Planning d'exécution; Attestations de formation; CV des intervenants,Attestation bancaire; Devis quantitatif et estimatif; Chiffre d'affaires des 3 dernières années,Disposer d'un personnel qualifié; Avoir un chiffre d'affaires minimum de 5M DH; Fournir une caution provisoire de 2% du montant estimé,MBA,5 ans,Expertise sectorielle; Analyse technique; Normes ISO; Management d'équipe; Audit technique,Ingénieur d'État,15 ans,Analyse technique; Normes ISO; Planification,Ingénieur d'État,10 ans,Expertise sectorielle; Audit technique; Formation; Planification; Normes ISO,67%,33%,60%,67%,33%,True,www.marchespublics.gov.ma
AO-2025-1227,Prestation de services de nettoyage,30 121 610 DH,2025-07-20,Office National des Chemins de Fer,"3, avenue de Ruiz, Rabat",0490811887,0345761162,331 jours,152 jours,179 jours,Attestation fiscale; Caution provisoire; Attestation CNSS; Certificat de qualification et classification; Registre de commerce,Références similaires; Planning d'exécution; Attestations de formation,Attestation bancaire; Chiffre d'affaires des 3 dernières années; Acte d'engagement; Bilan des 3 dernières années,Avoir un chiffre d'affaires minimum de 5M DH; Justifier d'une expérience de 5 ans minimum; Être inscrit au registre de commerce,Master spécialisé,16 ans,Formation; Gestion de projet; Management d'équipe; Planification; Audit technique,Diplôme d'ingénieur,18 ans,Normes ISO; Analyse technique; Contrôle qualité; Planification,Diplôme d'ingénieur,8 ans,Audit technique; Management d'équipe; Contrôle qualité,66%,34%,60%,66%,34%,True,www.marchespublics.gov.ma
AO-2025-3340,Fourniture de mobilier de bureau,35 092 274 DH,2025-07-15,Agence Nationale de la Conservation Foncière,"12, chemin Lucie David, Fès",+33 4 86 46 56 29,+33 2 69 13 60 83,93 jours,32 jours,61 jours,Certificat de qualification et classification; Caution provisoire; Attestation fiscale; Attestation CNSS; Registre de commerce,Références similaires; Certificats de conformité; Attestations de formation; CV des intervenants,Acte d'engagement; Bilan des 3 dernières années; Devis quantitatif et estimatif; Attestation bancaire,Être inscrit au registre de commerce; Justifier d'une expérience de 5 ans minimum; Être en règle avec les obligations fiscales; Fournir une caution provisoire de 2% du montant estimé; Avoir un chiffre d'affaires minimum de 5M DH,Master en management,12 ans,Analyse technique; Expertise sectorielle; Gestion de projet,Ingénieur d'État,15 ans,Expertise sectorielle; Contrôle qualité; Formation; Audit technique,Master spécialisé,9 ans,Management d'équipe; Planification; Gestion de projet; Expertise sectorielle; Audit technique,65%,35%,60%,65%,35%,True,www.marchespublics.gov.ma
